,Short Name,Table Name,Region,Income Group,Cluster_1964-1973,Cluster_1974-1983,Cluster_1984-1993,Cluster_1994-2003,Cluster_2004-2013,Cluster_2014-2024
MRT,Mauritania,Mauritania,Sub-Saharan Africa,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
MUS,Mauritius,Mauritius,Sub-Saharan Africa,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
MWI,Malawi,Malawi,Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
MYS,Malaysia,Malaysia,East Asia & Pacific,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
NAM,Namibia,Namibia,Sub-Saharan Africa,Lower middle income,1.0,1.0,0.0,1.0,0.0,0.0
NCL,New Caledonia,New Caledonia,East Asia & Pacific,High income,1.0,1.0,1.0,1.0,1.0,1.0
NER,Niger,Niger,Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
NGA,Nigeria,Nigeria,Sub-Saharan Africa,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
NIC,Nicaragua,Nicaragua,Latin America & Caribbean,Lower middle income,1.0,0.0,0.0,1.0,1.0,1.0
NLD,Netherlands,Netherlands,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
NOR,Norway,Norway,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
NPL,Nepal,Nepal,South Asia,Lower middle income,0.0,0.0,0.0,0.0,0.0,1.0
NRU,Naoero,Naoero,East Asia & Pacific,High income,2.0,2.0,1.0,1.0,1.0,1.0
NZL,New Zealand,New Zealand,East Asia & Pacific,High income,2.0,2.0,2.0,2.0,2.0,2.0
OMN,Oman,Oman,Middle East & North Africa,High income,1.0,0.0,1.0,1.0,1.0,1.0
PAK,Pakistan,Pakistan,Middle East & North Africa,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
PAN,Panama,Panama,Latin America & Caribbean,High income,1.0,1.0,1.0,1.0,1.0,1.0
PER,Peru,Peru,Latin America & Caribbean,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
PHL,Philippines,Philippines,East Asia & Pacific,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
PLW,Palau,Palau,East Asia & Pacific,High income,1.0,1.0,1.0,2.0,1.0,2.0
PNG,Papua New Guinea,Papua New Guinea,East Asia & Pacific,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
POL,Poland,Poland,Europe & Central Asia,High income,2.0,1.0,1.0,1.0,1.0,1.0
PRI,Puerto Rico (US),Puerto Rico (US),Latin America & Caribbean,High income,1.0,1.0,2.0,2.0,2.0,2.0
PRK,"Korea, Democratic People’s Republic of","Korea, Dem. People's Rep.",East Asia & Pacific,Low income,1.0,1.0,1.0,,1.0,1.0
PRT,Portugal,Portugal,Europe & Central Asia,High income,2.0,1.0,1.0,2.0,2.0,2.0
PRY,Paraguay,Paraguay,Latin America & Caribbean,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
PSE,West Bank and Gaza,West Bank and Gaza,Middle East & North Africa,Lower middle income,,,1.0,1.0,1.0,1.0
PYF,French Polynesia,French Polynesia,East Asia & Pacific,High income,1.0,1.0,1.0,1.0,1.0,1.0
QAT,Qatar,Qatar,Middle East & North Africa,High income,2.0,2.0,2.0,2.0,2.0,2.0
ROU,Romania,Romania,Europe & Central Asia,High income,2.0,1.0,1.0,1.0,1.0,1.0
RUS,Russian Federation,Russian Federation,Europe & Central Asia,High income,2.0,1.0,1.0,1.0,1.0,1.0
RWA,Rwanda,Rwanda,Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
SAU,Saudi Arabia,Saudi Arabia,Middle East & North Africa,High income,1.0,1.0,1.0,1.0,1.0,2.0
SDN,Sudan,Sudan,Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
SEN,Senegal,Senegal,Sub-Saharan Africa,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
SGP,Singapore,Singapore,East Asia & Pacific,High income,2.0,2.0,2.0,2.0,2.0,2.0
SLB,Solomon Islands,Solomon Islands,East Asia & Pacific,Lower middle income,1.0,0.0,0.0,0.0,0.0,0.0
SLE,Sierra Leone,Sierra Leone,Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
SLV,El Salvador,El Salvador,Latin America & Caribbean,Upper middle income,0.0,0.0,1.0,1.0,1.0,1.0
SMR,San Marino,San Marino,Europe & Central Asia,High income,,2.0,2.0,2.0,2.0,2.0
SOM,"Somalia, Fed. Rep.","Somalia, Fed. Rep.",Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
SRB,Serbia,Serbia,Europe & Central Asia,Upper middle income,,,,2.0,1.0,1.0
SSD,South Sudan,South Sudan,Sub-Saharan Africa,Low income,0.0,,,,0.0,0.0
STP,São Tomé and Principe,São Tomé and Principe,Sub-Saharan Africa,Lower middle income,1.0,1.0,1.0,1.0,0.0,1.0
SUR,Suriname,Suriname,Latin America & Caribbean,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
SVK,Slovak Republic,Slovak Republic,Europe & Central Asia,High income,2.0,1.0,1.0,1.0,2.0,1.0
SVN,Slovenia,Slovenia,Europe & Central Asia,High income,2.0,2.0,1.0,2.0,2.0,2.0
SWE,Sweden,Sweden,Europe & Central Asia,High income,2.0,2.0,2.0,2.0,2.0,2.0
SWZ,Eswatini,Eswatini,Sub-Saharan Africa,Lower middle income,1.0,0.0,0.0,0.0,0.0,0.0
SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Latin America & Caribbean,High income,,,,,2.0,2.0
SYC,Seychelles,Seychelles,Sub-Saharan Africa,High income,1.0,1.0,1.0,1.0,1.0,1.0
SYR,Syrian Arab Republic,Syrian Arab Republic,Middle East & North Africa,Low income,1.0,1.0,1.0,1.0,1.0,0.0
TCA,Turks and Caicos Islands,Turks and Caicos Islands,Latin America & Caribbean,High income,1.0,1.0,1.0,2.0,2.0,2.0
TCD,Chad,Chad,Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
TGO,Togo,Togo,Sub-Saharan Africa,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
THA,Thailand,Thailand,East Asia & Pacific,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
TJK,Tajikistan,Tajikistan,Europe & Central Asia,Lower middle income,1.0,0.0,1.0,1.0,1.0,1.0
TKM,Turkmenistan,Turkmenistan,Europe & Central Asia,Upper middle income,1.0,0.0,1.0,1.0,1.0,1.0
TLS,Timor-Leste,Timor-Leste,East Asia & Pacific,Lower middle income,,,0.0,0.0,0.0,0.0
TON,Tonga,Tonga,East Asia & Pacific,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
TTO,Trinidad and Tobago,Trinidad and Tobago,Latin America & Caribbean,High income,1.0,1.0,1.0,1.0,1.0,1.0
TUN,Tunisia,Tunisia,Middle East & North Africa,Lower middle income,0.0,1.0,1.0,1.0,1.0,1.0
TUR,Türkiye,Türkiye,Europe & Central Asia,Upper middle income,0.0,0.0,1.0,1.0,1.0,1.0
TUV,Tuvalu,Tuvalu,East Asia & Pacific,Upper middle income,0.0,1.0,1.0,1.0,1.0,1.0
TZA,Tanzania,Tanzania,Sub-Saharan Africa,Lower middle income,0.0,0.0,0.0,0.0,0.0,0.0
UGA,Uganda,Uganda,Sub-Saharan Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
UKR,Ukraine,Ukraine,Europe & Central Asia,Upper middle income,2.0,1.0,1.0,1.0,1.0,1.0
URY,Uruguay,Uruguay,Latin America & Caribbean,High income,2.0,1.0,1.0,1.0,1.0,2.0
USA,United States,United States,North America,High income,2.0,2.0,2.0,2.0,2.0,2.0
UZB,Uzbekistan,Uzbekistan,Europe & Central Asia,Lower middle income,1.0,1.0,1.0,1.0,1.0,1.0
VCT,St. Vincent and the Grenadines,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
VEN,"Venezuela, República Bolivariana de","Venezuela, RB",Latin America & Caribbean,Lower middle income,1.0,1.0,1.0,1.0,1.0,1.0
VGB,British Virgin Islands,British Virgin Islands,Latin America & Caribbean,High income,1.0,1.0,1.0,2.0,2.0,2.0
VIR,Virgin Islands (US),Virgin Islands (US),Latin America & Caribbean,High income,1.0,2.0,2.0,2.0,2.0,2.0
VNM,Viet Nam,Viet Nam,East Asia & Pacific,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
VUT,Vanuatu,Vanuatu,East Asia & Pacific,Lower middle income,0.0,0.0,1.0,1.0,0.0,0.0
WSM,Samoa,Samoa,East Asia & Pacific,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
XKX,Kosovo,Kosovo,Europe & Central Asia,Upper middle income,,,,,1.0,1.0
YEM,"Yemen, Republic of","Yemen, Rep.",Middle East & North Africa,Low income,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,South Africa,South Africa,Sub-Saharan Africa,Upper middle income,1.0,1.0,1.0,1.0,1.0,1.0
ZMB,Zambia,Zambia,Sub-Saharan Africa,Lower middle income,1.0,0.0,0.0,0.0,0.0,0.0
ZWE,Zimbabwe,Zimbabwe,Sub-Saharan Africa,Lower middle income,1.0,0.0,0.0,0.0,0.0,0.0
